test,stat,pvalue,df,runtime_ms,converged_full,converged_null,error_type,failed,reject,scenario,scenario_slug,hypothesis_id,n,effect_size,rep,seed,alpha,null_spec,null_df,notes,is_null
wald,0.24000305375123768,0.6242039091953689,1,0.19240000256104395,True,True,,False,False,Non-regular: ZIP boundary H0: pi=0,zip_boundary,main,60,0.0,0,7911232516600314726,0.05,H0: pi = 0 (boundary),1,境界仮説でχ²近似が壊れ、Wald/Score/LRすべてサイズが歪み得る。LRのparametric bootstrapで校正可能。,True
score,0.23032674473789147,0.6312816579827296,1,0.10879999899771065,True,True,,False,False,Non-regular: ZIP boundary H0: pi=0,zip_boundary,main,60,0.0,0,7911232516600314726,0.05,H0: pi = 0 (boundary),1,境界仮説でχ²近似が壊れ、Wald/Score/LRすべてサイズが歪み得る。LRのparametric bootstrapで校正可能。,True
lr,0.22908068732002107,0.6322063243248666,1,0.05729999975301325,True,True,,False,False,Non-regular: ZIP boundary H0: pi=0,zip_boundary,main,60,0.0,0,7911232516600314726,0.05,H0: pi = 0 (boundary),1,境界仮説でχ²近似が壊れ、Wald/Score/LRすべてサイズが歪み得る。LRのparametric bootstrapで校正可能。,True
lr_bootstrap,0.22908068732002107,0.475,1,125.4754999972647,True,True,,False,False,Non-regular: ZIP boundary H0: pi=0,zip_boundary,main,60,0.0,0,7911232516600314726,0.05,H0: pi = 0 (boundary),1,境界仮説でχ²近似が壊れ、Wald/Score/LRすべてサイズが歪み得る。LRのparametric bootstrapで校正可能。,True
wald,3.418178080763931,0.06448214086961972,1,0.14840000221738592,True,True,,False,False,Non-regular: ZIP boundary H0: pi=0,zip_boundary,main,60,0.0,1,5801373576750411889,0.05,H0: pi = 0 (boundary),1,境界仮説でχ²近似が壊れ、Wald/Score/LRすべてサイズが歪み得る。LRのparametric bootstrapで校正可能。,True
score,3.238623294278121,0.07192104939580027,1,0.09609999688109383,True,True,,False,False,Non-regular: ZIP boundary H0: pi=0,zip_boundary,main,60,0.0,1,5801373576750411889,0.05,H0: pi = 0 (boundary),1,境界仮説でχ²近似が壊れ、Wald/Score/LRすべてサイズが歪み得る。LRのparametric bootstrapで校正可能。,True
lr,3.1584793961903586,0.07553350910593637,1,0.05249999958323315,True,True,,False,False,Non-regular: ZIP boundary H0: pi=0,zip_boundary,main,60,0.0,1,5801373576750411889,0.05,H0: pi = 0 (boundary),1,境界仮説でχ²近似が壊れ、Wald/Score/LRすべてサイズが歪み得る。LRのparametric bootstrapで校正可能。,True
lr_bootstrap,3.1584793961903586,0.09302325581395349,1,133.4050000004936,True,True,,False,False,Non-regular: ZIP boundary H0: pi=0,zip_boundary,main,60,0.0,1,5801373576750411889,0.05,H0: pi = 0 (boundary),1,境界仮説でχ²近似が壊れ、Wald/Score/LRすべてサイズが歪み得る。LRのparametric bootstrapで校正可能。,True
wald,0.4505555068840792,0.5020712710016273,1,0.15080000594025478,True,True,,False,False,Non-regular: ZIP boundary H0: pi=0,zip_boundary,main,60,0.0,2,2747550595085889629,0.05,H0: pi = 0 (boundary),1,境界仮説でχ²近似が壊れ、Wald/Score/LRすべてサイズが歪み得る。LRのparametric bootstrapで校正可能。,True
score,0.43906552487740974,0.5075738318552732,1,0.09699999645818025,True,True,,False,False,Non-regular: ZIP boundary H0: pi=0,zip_boundary,main,60,0.0,2,2747550595085889629,0.05,H0: pi = 0 (boundary),1,境界仮説でχ²近似が壊れ、Wald/Score/LRすべてサイズが歪み得る。LRのparametric bootstrapで校正可能。,True
lr,0.43410083665659727,0.5099835602214957,1,0.053099996875971556,True,True,,False,False,Non-regular: ZIP boundary H0: pi=0,zip_boundary,main,60,0.0,2,2747550595085889629,0.05,H0: pi = 0 (boundary),1,境界仮説でχ²近似が壊れ、Wald/Score/LRすべてサイズが歪み得る。LRのparametric bootstrapで校正可能。,True
lr_bootstrap,0.43410083665659727,0.5121951219512195,1,129.73489999421872,True,True,,False,False,Non-regular: ZIP boundary H0: pi=0,zip_boundary,main,60,0.0,2,2747550595085889629,0.05,H0: pi = 0 (boundary),1,境界仮説でχ²近似が壊れ、Wald/Score/LRすべてサイズが歪み得る。LRのparametric bootstrapで校正可能。,True
wald,0.0,1.0,1,0.10720000136643648,True,True,,False,False,Non-regular: ZIP boundary H0: pi=0,zip_boundary,main,60,0.0,3,8033120488352715130,0.05,H0: pi = 0 (boundary),1,境界仮説でχ²近似が壊れ、Wald/Score/LRすべてサイズが歪み得る。LRのparametric bootstrapで校正可能。,True
score,0.7108189844454083,0.3991720629232177,1,0.11760000052163377,True,True,,False,False,Non-regular: ZIP boundary H0: pi=0,zip_boundary,main,60,0.0,3,8033120488352715130,0.05,H0: pi = 0 (boundary),1,境界仮説でχ²近似が壊れ、Wald/Score/LRすべてサイズが歪み得る。LRのparametric bootstrapで校正可能。,True
lr,0.0,1.0,1,0.039699996705166996,True,True,,False,False,Non-regular: ZIP boundary H0: pi=0,zip_boundary,main,60,0.0,3,8033120488352715130,0.05,H0: pi = 0 (boundary),1,境界仮説でχ²近似が壊れ、Wald/Score/LRすべてサイズが歪み得る。LRのparametric bootstrapで校正可能。,True
